Billy Raffoul,Acoustic,acoustic,0.88,0.245,9,-10.245,1,0.446,0.785,3.19e-05,0.0979,0.638,76.006,audio_features,7kr3xZk4yb3YSZ4VFtg2Qt,spotify:track:7kr3xZk4yb3YSZ4VFtg2Qt,https://api.spotify.com/v1/tracks/7kr3xZk4yb3YSZ4VFtg2Qt,https://api.spotify.com/v1/audio-analysis/7kr3xZk4yb3YSZ4VFtg2Qt,172200,4,
The Goo Goo Dolls,Acoustic #3,acoustic,0.554,0.38,7,-11.617,1,0.0291,0.37,1.99e-05,0.175,0.714,125.753,audio_features,1RC9slv335IfLce5vt9KTW,spotify:track:1RC9slv335IfLce5vt9KTW,https://api.spotify.com/v1/tracks/1RC9slv335IfLce5vt9KTW,https://api.spotify.com/v1/audio-analysis/1RC9slv335IfLce5vt9KTW,116573,4,
Devin The Dude,Acoustic Levitation,acoustic,0.825,0.491,6,-5.058,1,0.136,0.0416,0.00454,0.0992,0.685,140.004,audio_features,4qsRrKXNKBxZjKWHBrRdXs,spotify:track:4qsRrKXNKBxZjKWHBrRdXs,https://api.spotify.com/v1/tracks/4qsRrKXNKBxZjKWHBrRdXs,https://api.spotify.com/v1/audio-analysis/4qsRrKXNKBxZjKWHBrRdXs,355962,4,
Bryce Vine,La La Land - Acoustic,acoustic,0.734,0.415,1,-8.593,0,0.0305,0.559,0,0.0918,0.364,97.954,audio_features,1sMi8ywnrNKysixM34zH9W,spotify:track:1sMi8ywnrNKysixM34zH9W,https://api.spotify.com/v1/tracks/1sMi8ywnrNKysixM34zH9W,https://api.spotify.com/v1/audio-analysis/1sMi8ywnrNKysixM34zH9W,137195,4,
Guustavv,Acoustick,acoustic,0.856,0.492,4,-6.614,0,0.15,0.724,0.592,0.09,0.874,140.009,audio_features,3K6z3cqLgxKoBXb3O3jofb,spotify:track:3K6z3cqLgxKoBXb3O3jofb,https://api.spotify.com/v1/tracks/3K6z3cqLgxKoBXb3O3jofb,https://api.spotify.com/v1/audio-analysis/3K6z3cqLgxKoBXb3O3jofb,118679,4,
Frank Ocean,Cayendo (Side A - Acoustic),acoustic,0.35,0.12,3,-11.104,0,0.0393,0.982,0.000289,0.103,0.121,68.995,audio_features,72794Eag03xdy7TO0KNuid,spotify:track:72794Eag03xdy7TO0KNuid,https://api.spotify.com/v1/tracks/72794Eag03xdy7TO0KNuid,https://api.spotify.com/v1/audio-analysis/72794Eag03xdy7TO0KNuid,202200,4,
Anna Clendening,Boys Like You - Acoustic,acoustic,0.477,0.128,2,-14.567,1,0.0707,0.928,0,0.0875,0.38,88.917,audio_features,51xRMJFRBrW9C1RI1qW4S0,spotify:track:51xRMJFRBrW9C1RI1qW4S0,https://api.spotify.com/v1/tracks/51xRMJFRBrW9C1RI1qW4S0,https://api.spotify.com/v1/audio-analysis/51xRMJFRBrW9C1RI1qW4S0,238576,4,
Frank Ocean,Dear April (Side A - Acoustic),acoustic,0.444,0.152,8,-12.87,0,0.0471,0.953,8.85e-05,0.0966,0.227,115.95,audio_features,62ljuuXo0zrcrtJnnOhfxT,spotify:track:62ljuuXo0zrcrtJnnOhfxT,https://api.spotify.com/v1/tracks/62ljuuXo0zrcrtJnnOhfxT,https://api.spotify.com/v1/audio-analysis/62ljuuXo0zrcrtJnnOhfxT,231040,1,
Machine Gun Kelly,Bloody Valentine - Acoustic,acoustic,0.658,0.425,7,-6.621,0,0.0401,0.634,0,0.129,0.227,140.067,audio_features,4Uah1pyFsLEsw4eauJvuNF,spotify:track:4Uah1pyFsLEsw4eauJvuNF,https://api.spotify.com/v1/tracks/4Uah1pyFsLEsw4eauJvuNF,https://api.spotify.com/v1/audio-analysis/4Uah1pyFsLEsw4eauJvuNF,195857,4,
Lil Peep,walk away as the door slams - acoustic,acoustic,0.651,0.346,11,-8.113,1,0.0332,0.755,0,0.115,0.593,134.93,audio_features,5Am6tsnSF2olM1bPpOdZRu,spotify:track:5Am6tsnSF2olM1bPpOdZRu,https://api.spotify.com/v1/tracks/5Am6tsnSF2olM1bPpOdZRu,https://api.spotify.com/v1/audio-analysis/5Am6tsnSF2olM1bPpOdZRu,118400,4,
Amir,Acoustic Dancehall,acoustic,0.795,0.779,11,-8.829,1,0.156,0.00631,0.887,0.0598,0.933,122.983,audio_features,3O23ye0DCuMuwCh5tVN9Pe,spotify:track:3O23ye0DCuMuwCh5tVN9Pe,https://api.spotify.com/v1/tracks/3O23ye0DCuMuwCh5tVN9Pe,https://api.spotify.com/v1/audio-analysis/3O23ye0DCuMuwCh5tVN9Pe,80144,4,
Shinedown,Simple Man - Acoustic,acoustic,0.568,0.367,7,-8.15,1,0.0318,0.768,0,0.279,0.41,121.074,audio_features,4VuKGQiCzE5BdSdvp6Hjoh,spotify:track:4VuKGQiCzE5BdSdvp6Hjoh,https://api.spotify.com/v1/tracks/4VuKGQiCzE5BdSdvp6Hjoh,https://api.spotify.com/v1/audio-analysis/4VuKGQiCzE5BdSdvp6Hjoh,320267,4,
Simon & Garfunkel,The Sound of Silence - Acoustic Version,acoustic,0.525,0.216,6,-13.551,1,0.0301,0.837,0,0.107,0.328,106.761,audio_features,5y788ya4NvwhBznoDIcXwK,spotify:track:5y788ya4NvwhBznoDIcXwK,https://api.spotify.com/v1/tracks/5y788ya4NvwhBznoDIcXwK,https://api.spotify.com/v1/audio-analysis/5y788ya4NvwhBznoDIcXwK,185413,4,
Luke Combs,Beautiful Crazy - Acoustic,acoustic,0.45,0.262,11,-10.423,1,0.033,0.851,0,0.102,0.488,102.656,audio_features,5v05DdK7dCqmImUj4PLxOE,spotify:track:5v05DdK7dCqmImUj4PLxOE,https://api.spotify.com/v1/tracks/5v05DdK7dCqmImUj4PLxOE,https://api.spotify.com/v1/audio-analysis/5v05DdK7dCqmImUj4PLxOE,193234,4,
Matt Stell,Prayed For You - Acoustic,acoustic,0.713,0.386,4,-6.995,1,0.0291,0.63,0,0.151,0.52,139.968,audio_features,6DuEfVcF8bmEkiFKr41SiM,spotify:track:6DuEfVcF8bmEkiFKr41SiM,https://api.spotify.com/v1/tracks/6DuEfVcF8bmEkiFKr41SiM,https://api.spotify.com/v1/audio-analysis/6DuEfVcF8bmEkiFKr41SiM,205915,4,
Rhys Lewis,No Right To Love You - Acoustic,acoustic,0.531,0.269,1,-10.6,1,0.0406,0.866,0,0.116,0.52,84.186,audio_features,5UqivtkoiPTXrJu6GIt1mh,spotify:track:5UqivtkoiPTXrJu6GIt1mh,https://api.spotify.com/v1/tracks/5UqivtkoiPTXrJu6GIt1mh,https://api.spotify.com/v1/audio-analysis/5UqivtkoiPTXrJu6GIt1mh,229557,4,
Miranda Lambert,Bluebird - Acoustic,acoustic,0.63,0.295,2,-8.576,1,0.029,0.889,0,0.0808,0.523,148.23,audio_features,5kLMdUTCdzBSeN8EDlkbpn,spotify:track:5kLMdUTCdzBSeN8EDlkbpn,https://api.spotify.com/v1/tracks/5kLMdUTCdzBSeN8EDlkbpn,https://api.spotify.com/v1/audio-analysis/5kLMdUTCdzBSeN8EDlkbpn,220638,4,
Stone Temple Pilots,Plush - Acoustic,acoustic,0.644,0.363,5,-11.019,0,0.0397,0.712,0,0.659,0.303,133.396,audio_features,3ftHrCjsTUPLgI48m67byk,spotify:track:3ftHrCjsTUPLgI48m67byk,https://api.spotify.com/v1/tracks/3ftHrCjsTUPLgI48m67byk,https://api.spotify.com/v1/audio-analysis/3ftHrCjsTUPLgI48m67byk,230293,4,
The Script,Never Seen Anything "Quite Like You" - Acoustic,acoustic,0.444,0.398,6,-8.01,1,0.03,0.799,0,0.114,0.361,79.874,audio_features,018Idkvf82hi44UZmIXiGB,spotify:track:018Idkvf82hi44UZmIXiGB,https://api.spotify.com/v1/tracks/018Idkvf82hi44UZmIXiGB,https://api.spotify.com/v1/audio-analysis/018Idkvf82hi44UZmIXiGB,228147,3,
Dean Lewis,Lose My Mind - Acoustic,acoustic,0.515,0.201,8,-10.866,1,0.0569,0.939,1.29e-06,0.0889,0.228,74.21,audio_features,3bnMRk8B9LUcsCHJNQAMLr,spotify:track:3bnMRk8B9LUcsCHJNQAMLr,https://api.spotify.com/v1/tracks/3bnMRk8B9LUcsCHJNQAMLr,https://api.spotify.com/v1/audio-analysis/3bnMRk8B9LUcsCHJNQAMLr,193628,4,
Foo Fighters,Everlong - Acoustic Version,acoustic,0.643,0.344,2,-11.342,1,0.0349,0.909,0.0112,0.106,0.547,144.171,audio_features,3QmesrvdbPjwf7i40nht1D,spotify:track:3QmesrvdbPjwf7i40nht1D,https://api.spotify.com/v1/tracks/3QmesrvdbPjwf7i40nht1D,https://api.spotify.com/v1/audio-analysis/3QmesrvdbPjwf7i40nht1D,250907,4,
Machine Gun Kelly,Bloody Valentine,acoustic,0.52,0.856,2,-4.228,1,0.0806,0.000193,0,0.157,0.47,160.083,audio_features,6JRi7tUyVtW2SiEaCwtkD3,spotify:track:6JRi7tUyVtW2SiEaCwtkD3,https://api.spotify.com/v1/tracks/6JRi7tUyVtW2SiEaCwtkD3,https://api.spotify.com/v1/audio-analysis/6JRi7tUyVtW2SiEaCwtkD3,205016,4,
Sam Hunt,Come Over - Acoustic Mixtape,acoustic,0.373,0.431,2,-7.979,1,0.0278,0.812,0,0.0904,0.211,84.567,audio_features,5ZuDo4T5NU7jg5y0yV2Otk,spotify:track:5ZuDo4T5NU7jg5y0yV2Otk,https://api.spotify.com/v1/tracks/5ZuDo4T5NU7jg5y0yV2Otk,https://api.spotify.com/v1/audio-analysis/5ZuDo4T5NU7jg5y0yV2Otk,241867,4,
